alpha,modelo,semente,rmspe_medio,desvio_folds
1.25,blend_50,7,0.2146054396683792,0.006707683588394297
1.25,blend_50,42,0.21542176466665447,0.007367686830805836
1.25,blend_50,2026,0.21749334574340526,0.005151621563915976
1.25,lightgbm,7,0.21636248560100277,0.0064369479934175255
1.25,lightgbm,42,0.21695371508148914,0.006467399664102775
1.25,lightgbm,2026,0.2192057778885951,0.005587358880549297
1.25,xgboost,7,0.21487989335106353,0.007936287129740033
1.25,xgboost,42,0.21592457112991167,0.008336069942357806
1.25,xgboost,2026,0.2179775989455392,0.005235509819654129
1.5,blend_50,7,0.21315563632431664,0.005079910950166097
1.5,blend_50,42,0.21538716977788566,0.007818943066759487
1.5,blend_50,2026,0.21669855076047817,0.00434895682141364
1.5,lightgbm,7,0.2145014003045329,0.00547501831622267
1.5,lightgbm,42,0.21751374937226492,0.0075113026609894985
1.5,lightgbm,2026,0.21837167050313613,0.004362905567774554
1.5,xgboost,7,0.21386307719343547,0.004968131716571637
1.5,xgboost,42,0.2154336033400958,0.007956541472533224
1.5,xgboost,2026,0.2171607563276305,0.004321089493755039
1.75,blend_50,7,0.21319938618919446,0.004462257345465712
1.75,blend_50,42,0.21515244491289715,0.007506676160662498
1.75,blend_50,2026,0.21674078124217738,0.004320749561963262
1.75,lightgbm,7,0.21482070275286297,0.004516145009402541
1.75,lightgbm,42,0.21628371224767476,0.007768461159383236
1.75,lightgbm,2026,0.21825165646418912,0.0049518879876256465
1.75,xgboost,7,0.2138970599629632,0.004807624646729551
1.75,xgboost,42,0.21620362968428747,0.007343540448528571
1.75,xgboost,2026,0.21752492573840398,0.0038155439809526
