learning_rate,n_estimators,rmspe_cv,desvio_rmspe_cv,rmspe_treino
0.03,800,0.24076102211679612,0.015086543918169833,0.19577085997350158
0.03,1200,0.24108684222122417,0.017053530527331606,0.185713157463756
0.01,2400,0.24131609060931797,0.015815879441211433,0.1959572889118007
0.02,1200,0.2414490481409735,0.016296339708477894,0.19580694015313713
0.01,3200,0.24160841654815685,0.016748309433133057,0.188908391962114
0.01,1800,0.24182902881922003,0.014937008876910334,0.2025713464461898
0.02,1600,0.2419387972117566,0.01760582367385359,0.1885829672583407
0.03,1600,0.24197030046156445,0.017884793169435868,0.17809733811092354
0.03,500,0.24202674612841144,0.014011226025751767,0.20624622588814825
0.01,4000,0.24207901923057684,0.017349655790268714,0.18305657092383526
0.05,500,0.24227889041578843,0.015805362716707877,0.19433157964693692
0.02,800,0.24229315922343062,0.015158242155425768,0.2048692636909893
0.01,1200,0.2430887602158453,0.013170673401010982,0.21096131586580427
0.05,800,0.24324738145033117,0.01754406835687147,0.18228755559866952
0.02,2200,0.2432643386825008,0.01895582380146,0.1801949352032237
0.05,300,0.24337028722575424,0.014104276302104455,0.20619827368879357
0.03,2200,0.24407222840533288,0.018512238688954928,0.1689691324546831
0.02,3000,0.24435940570007833,0.020086138405400557,0.17146275232187452
0.05,1200,0.24486861933000123,0.017942994751605334,0.17073062242700376
0.05,1600,0.24693166662786797,0.01914579521061632,0.16251254662063735
