modo_bairro,n_estimators,learning_rate,grow_policy,max_depth,max_leaves,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_cat_threshold,rmspe_bloco_corr_00,rmspe_bloco_corr_15,rmspe_bloco_corr_30,rmspe_bloco_corr_45,rmspe_kfold_corr_00,desvio_kfold_corr_00,rmspe_kfold_corr_15,desvio_kfold_corr_15,rmspe_kfold_corr_30,desvio_kfold_corr_30,rmspe_kfold_corr_45,desvio_kfold_corr_45,criterio_selecao
nativo,800,0.03,depthwise,4,0,12,0.8,0.8,0.2,3.0,0.0,64,0.21943905631490257,0.21801860300269293,0.21769117902878862,0.21846170583496724,0.23298788776967264,0.00674805732212878,0.23121825121980294,0.007211082569973132,0.23059151404700412,0.007818531523482336,0.2311153988038841,0.008582446779691215,0.22220629628516403
nativo,800,0.03,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.1,64,0.21983726080421717,0.21815014928703905,0.21764106448004472,0.2183182533601226,0.23396266898203294,0.006879525442794013,0.23182286044489744,0.007210667911575677,0.23090676474681565,0.007630922443797677,0.2312269332595435,0.008183314005135391,0.22228405957341454
nativo,1200,0.02,depthwise,4,0,12,0.8,0.8,0.05,1.0,0.0,64,0.21938630882401433,0.21802451820422225,0.2177511012006784,0.21857015027192855,0.23360361423876555,0.00744786893531873,0.23184283228216382,0.007843175441165905,0.23121588211651828,0.008355895746431048,0.23173039391245584,0.009006787308651313,0.22246377452122235
nativo,300,0.08,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.0,64,0.21824277857240792,0.21694078429014507,0.2167033581382409,0.21753399363684697,0.2373920488547526,0.007604731078540343,0.23580108076542977,0.007933126376231633,0.2352873496091507,0.008386554011096102,0.23585633040233453,0.008987457525058104,0.22320775515305935
nativo,800,0.03,depthwise,4,0,1,0.8,1.0,0.05,1.0,0.0,64,0.2190918476732354,0.21797503542009442,0.21786121772859848,0.2187519690252744,0.2373438178605544,0.008955712963042269,0.23593001475592165,0.009289915940822546,0.23555698857620314,0.009705600113603406,0.23622852959941887,0.010219351533376055,0.22405473752526012
target_m2,800,0.03,depthwise,4,0,12,0.8,0.8,0.2,3.0,0.0,64,0.22290050383123655,0.22118957381145027,0.22061353695703895,0.22118127061733414,0.2352714312963451,0.006651567037673909,0.23327197340881295,0.007130643080171792,0.23244391328211225,0.00774516296657317,0.23279803184494324,0.008513068916935795,0.2247541686708146
target_m2,800,0.03,depthwise,4,0,12,0.8,0.8,0.05,1.0,0.1,64,0.22407411974974922,0.22203935559022886,0.2212377066010642,0.22168256046452942,0.23622448307498964,0.005585912824078601,0.23374772754570236,0.005997176627979747,0.23254073999943756,0.006562842754840341,0.23262103056597314,0.007319154405802594,0.22519376829049487
target_m2,800,0.03,lossguide,0,16,1,0.8,0.8,0.05,1.0,0.1,64,0.2235084792535385,0.2216437280129692,0.2209754851652409,0.2215145835097714,0.23767437023824461,0.004743352625125497,0.23546164293456906,0.005122377632808875,0.23445958283406587,0.005712367691643635,0.23468173607000015,0.006527009371679132,0.22569491934932961
onehot,800,0.03,depthwise,4,0,1,0.8,0.65,0.05,1.0,0.0,64,0.2250764527516899,0.22338458958481586,0.2228105357621978,0.22336291889807922,0.23541659578656565,0.0055135449091312065,0.23359078830806404,0.005800096793442273,0.23292557502136307,0.006287507858000388,0.23342890791878138,0.006999904667795793,0.22635079950290565
target_m2,1200,0.02,lossguide,0,16,1,0.8,0.8,0.05,1.0,0.0,64,0.2221081010597022,0.2209129257643035,0.2207247669117454,0.22154619998519712,0.2388732021969414,0.004843310856395881,0.23743989073810173,0.005417003325302581,0.23701627466661274,0.006120285511505906,0.2376071006130823,0.006936502398543824,0.22642679462594895
target_m2,800,0.03,lossguide,0,16,1,0.8,0.65,0.05,1.0,0.0,64,0.2230151257523301,0.22172411251392418,0.2214516106126514,0.2222013783611775,0.23796198290111387,0.00525927443928879,0.2364991257278973,0.005638507910498979,0.2360570217744133,0.00618512366482803,0.23664051864296098,0.006889625113219313,0.22656350451926804
onehot,800,0.03,depthwise,4,0,1,0.8,0.8,0.0,0.5,0.0,64,0.22563956190738546,0.22408905909670482,0.2236465833478727,0.2243186998780449,0.23643972819410392,0.007441259878402717,0.23464045111184645,0.007597997464032607,0.2339823819665857,0.00790108547119152,0.23447331678916034,0.008385644898099036,0.22726411286442227
onehot,800,0.03,depthwise,4,0,12,1.0,0.8,0.05,1.0,0.0,64,0.22610742101135223,0.2240339975845126,0.22319114975355703,0.22359280622346855,0.23888651671504596,0.006154277071121993,0.23649950563576877,0.006586833933621233,0.23535405288285824,0.007238305454940446,0.23546646249283013,0.008108938440842421,0.22744816584881244
onehot,600,0.04,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.0,64,0.2260133994452452,0.22437243418764377,0.22384423957741378,0.22443667807477838,0.23737883456248574,0.006664087391536616,0.23553644626299625,0.006822972877484885,0.23484386297464868,0.007160566253511867,0.2353093086612013,0.007712629539382834,0.227694107766446
onehot,800,0.03,depthwise,4,0,1,0.8,1.0,0.05,1.0,0.0,64,0.2261801390479643,0.22459425378875408,0.22410830375789725,0.22472943082304753,0.23783363554811238,0.005464045239511731,0.23601654890779286,0.005698578343014378,0.23534043294355805,0.006129229418810208,0.23581328225630055,0.006782326960043023,0.22803954897287854
