alpha,faixa_preco,quantidade,rmspe
0.0,"(89999.999, 355000.0]",1178,0.28384781666577624
0.0,"(355000.0, 511000.0]",1161,0.19095057019614933
0.0,"(511000.0, 830000.0]",1176,0.24113257272177097
0.0,"(830000.0, 7100000.0]",1163,0.24724253552726144
1.0,"(89999.999, 355000.0]",1178,0.2374996754934251
1.0,"(355000.0, 511000.0]",1161,0.17760154941361445
1.0,"(511000.0, 830000.0]",1176,0.22484165445334445
1.0,"(830000.0, 7100000.0]",1163,0.2592243715731973
1.5,"(89999.999, 355000.0]",1178,0.22258287628672782
1.5,"(355000.0, 511000.0]",1161,0.17778448596438737
1.5,"(511000.0, 830000.0]",1176,0.2196439025848164
1.5,"(830000.0, 7100000.0]",1163,0.2807780904158291
