nome,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
log_a200_d6_rs0,250000,330,0.26781977436023463,0.2146775723747544
log_a200_d6_rs0,300000,695,0.23597076719938523,0.20015406832768196
log_a200_d6_rs0,355000,1178,0.2107307965487802,0.19037792617257693
log_a200_d6_rs0,400000,1657,0.1989724581050073,0.19011879004430532
log_a200_d6_rs0,500000,2316,0.1959730608210077,0.1994092987844227
log_a200_d6_rs0,830000,3515,0.20585241834066156,0.21521404103956157
log_a200_d6_bt0,250000,330,0.26255586908086026,0.21442446526310097
log_a200_d6_bt0,300000,695,0.23757918736641373,0.20466212730558617
log_a200_d6_bt0,355000,1178,0.21351608634549205,0.19450295266447284
log_a200_d6_bt0,400000,1657,0.20213685971389936,0.19350765493706662
log_a200_d6_bt0,500000,2316,0.19812083655725204,0.20135733632998046
log_a200_d6_bt0,830000,3515,0.20702276673336426,0.21611748947165654
log_a200_d6_rs0_bt0,250000,330,0.2644607275748501,0.21282469143137028
log_a200_d6_rs0_bt0,300000,695,0.23438345709208858,0.20006353490834522
log_a200_d6_rs0_bt0,355000,1178,0.2113957571929688,0.19147140257031978
log_a200_d6_rs0_bt0,400000,1657,0.20025108107402936,0.19142044471166733
log_a200_d6_rs0_bt0,500000,2316,0.19686396925530078,0.19994789903351676
log_a200_d6_rs0_bt0,830000,3515,0.20822283113067777,0.21661289325459143
