nome,fold,quantidade_baratos,rmspe_ate_355k,duracao_segundos
log_a200_d6_rs0,1,220,0.219214347139635,53.94110389999696
log_a200_d6_rs0,2,259,0.21085487740094694,53.85639169999922
log_a200_d6_rs0,3,216,0.21040509278614344,54.49022539999714
log_a200_d6_rs0,4,214,0.17941138214613794,55.44544080000196
log_a200_d6_rs0,5,269,0.22628499725876522,54.01743520000309
log_a200_d6_bt0,1,220,0.22001478644134162,59.656523199999356
log_a200_d6_bt0,2,259,0.2091337481261582,59.0485811000035
log_a200_d6_bt0,3,216,0.21981232301935114,52.689356800001406
log_a200_d6_bt0,4,214,0.18585062853368076,51.87586430000374
log_a200_d6_bt0,5,269,0.22730405660287464,52.12929979999899
log_a200_d6_rs0_bt0,1,220,0.219258339498634,52.34274319999531
log_a200_d6_rs0_bt0,2,259,0.20879281985228948,52.483151300002646
log_a200_d6_rs0_bt0,3,216,0.21172880486110351,52.78694349999569
log_a200_d6_rs0_bt0,4,214,0.18641599953032584,56.66347520000272
log_a200_d6_rs0_bt0,5,269,0.22530929096179153,54.62816449999809
