iteracoes,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
400,250000,330,0.2617778114643666,0.21285117697141803
400,300000,695,0.23354320020296937,0.2021957136283933
400,355000,1178,0.21075296197679233,0.1934232088085236
400,400000,1657,0.2004074880733363,0.1933542092251088
400,500000,2316,0.1980881939408358,0.20211225041055983
400,830000,3515,0.20586655119822977,0.21589651441959845
600,250000,330,0.2640518070168127,0.21461268131852698
600,300000,695,0.23476767308521793,0.20243335463687917
600,355000,1178,0.2108076619440121,0.19265745135409923
600,400000,1657,0.19968958488252778,0.19201746206727952
600,500000,2316,0.1967285696968194,0.20052537958497685
600,830000,3515,0.20532725535391047,0.21506379425446598
800,250000,330,0.26492836788139335,0.21485892611167073
800,300000,695,0.235299987548779,0.20208668143187075
800,355000,1178,0.2106570835842004,0.19194049898140958
800,400000,1657,0.1991601262032023,0.1911530829951898
800,500000,2316,0.19596279275572218,0.19970960589220227
800,830000,3515,0.20480024993803392,0.21450278027283992
1000,250000,330,0.2665178066563301,0.2155509887121063
1000,300000,695,0.23643904284100403,0.20226638465192723
1000,355000,1178,0.21120419043115277,0.19184500095254547
1000,400000,1657,0.1993391982170472,0.19089762157040238
1000,500000,2316,0.19591819076525116,0.19944259720509344
1000,830000,3515,0.20474898213033182,0.21430379714959763
1200,250000,330,0.26832389686521524,0.2167194220221951
1200,300000,695,0.23765068330204145,0.20280592180779738
1200,355000,1178,0.21188371347085533,0.19208384322171979
1200,400000,1657,0.19957824333619034,0.1908665648476761
1200,500000,2316,0.19605672392535953,0.19947077291817095
1200,830000,3515,0.20470912818076614,0.2142185168535221
1400,250000,330,0.2695220126351596,0.21744960031706112
1400,300000,695,0.23841350622505786,0.20309803368584492
1400,355000,1178,0.21233506525692375,0.19219347498556416
1400,400000,1657,0.19978994058079325,0.1908311412681157
1400,500000,2316,0.19617443339625532,0.19947728724443933
1400,830000,3515,0.2047438923121373,0.2142456621618333
1600,250000,330,0.2706922656340028,0.21797046793370992
1600,300000,695,0.23940729859382515,0.20349758477456587
1600,355000,1178,0.2129610938559091,0.19240355267605094
1600,400000,1657,0.2001065008962349,0.19088529874689025
1600,500000,2316,0.19637858699326796,0.19959056864097516
1600,830000,3515,0.20493241502442502,0.21441609565141403
