iteracoes,fold,rmspe_ate_355k
400,1,0.22148274757200684
600,1,0.2218752757270405
800,1,0.22262206726310274
1000,1,0.22310983186204472
1200,1,0.2233420026567845
400,2,0.20648128379209177
600,2,0.2078024020625017
800,2,0.2095488527455757
1000,2,0.21050106713469374
1200,2,0.2109259388348368
400,3,0.21637870811482113
600,3,0.21453902737015224
800,3,0.2141332064796326
1000,3,0.21392879633429687
1200,3,0.21358929745233796
400,4,0.17659189309263407
600,4,0.17658294966699825
800,4,0.17707078463527476
1000,4,0.1771628839599387
1200,4,0.17736822034631566
400,5,0.22007984470225575
600,5,0.22190531021201698
800,5,0.22361200697185532
1000,5,0.22479180601057877
1200,5,0.22609255005668694
