alpha,peso_correspondencia,faixa_preco,quantidade,rmspe
1.0,0.0,"(89999.999, 355000.0]",1178,0.2374996754934251
1.0,0.0,"(355000.0, 511000.0]",1161,0.17760154941361445
1.0,0.0,"(511000.0, 830000.0]",1176,0.22484165445334445
1.0,0.0,"(830000.0, 7100000.0]",1163,0.2592243715731973
1.0,0.15,"(89999.999, 355000.0]",1178,0.2382260446484764
1.0,0.15,"(355000.0, 511000.0]",1161,0.17342191318310823
1.0,0.15,"(511000.0, 830000.0]",1176,0.22018369432940105
1.0,0.15,"(830000.0, 7100000.0]",1163,0.24979693574496248
1.0,0.3,"(89999.999, 355000.0]",1178,0.24085314266377497
1.0,0.3,"(355000.0, 511000.0]",1161,0.1706884776624151
1.0,0.3,"(511000.0, 830000.0]",1176,0.21720246603887855
1.0,0.3,"(830000.0, 7100000.0]",1163,0.2422837635823407
1.5,0.0,"(89999.999, 355000.0]",1178,0.22258287628672782
1.5,0.0,"(355000.0, 511000.0]",1161,0.17778448596438737
1.5,0.0,"(511000.0, 830000.0]",1176,0.2196439025848164
1.5,0.0,"(830000.0, 7100000.0]",1163,0.2807780904158291
1.5,0.15,"(89999.999, 355000.0]",1178,0.22355446101585796
1.5,0.15,"(355000.0, 511000.0]",1161,0.17307554487388369
1.5,0.15,"(511000.0, 830000.0]",1176,0.21392111424154014
1.5,0.15,"(830000.0, 7100000.0]",1163,0.2698860446503924
1.5,0.3,"(89999.999, 355000.0]",1178,0.22668830176758592
1.5,0.3,"(355000.0, 511000.0]",1161,0.16992762487122032
1.5,0.3,"(511000.0, 830000.0]",1176,0.2100939562212229
1.5,0.3,"(830000.0, 7100000.0]",1163,0.26105397481713866
