limite_inferior,limite_superior,quantidade,rmspe_especialista_media_sementes,desvio_especialista_sementes,rmspe_especialista_s7,rmspe_especialista_s42,rmspe_especialista_s2026,rmspe_pipeline_atual,rmspe_pipeline_atual_calibrado_caros,ganho_pp_versus_pipeline_atual,ganho_pp_versus_pipeline_calibrado,proporcao_linhas_especialista_melhor
0,740000.0,3265,1.6747142389950174,0.017410210110309764,1.6880607769839389,1.6550210675866428,1.6810608724144704,0.19718272006755883,0.25730425710285926,-147.75315189274585,-141.74099818921582,0.015416028586013273
740000,830000.0,239,0.3569170624102929,0.0030682906624226714,0.35650667281485204,0.35407461994710526,0.3601698944689215,0.20324526395358522,0.24642267988826225,-15.367179845670769,-11.049438252203068,0.18131101813110181
830000,875000.0,118,0.28112900313432637,0.0023478209124881575,0.2791541073083698,0.2837248984025455,0.28050800369206386,0.17513784196987525,0.22462767016610663,-10.599116116445112,-5.650133296821974,0.192090395480226
875000,900000.0,35,0.24610084826124487,0.004626084419256341,0.24858680435129352,0.2489524610129729,0.24076327941946823,0.19947327180535068,0.2149665293259514,-4.662757645589418,-3.1134318935293477,0.3904761904761905
900000,925000.0,59,0.23093242094738428,0.011749906151761616,0.2413334412359384,0.21818708626617994,0.23327673534003443,0.22841140737868326,0.2582744894585726,-0.25210135687010193,2.734206851118834,0.37288135593220345
925000,950000.0,15,0.24784708594408608,0.0326145306955879,0.2852096048247096,0.22507446369112447,0.23325718931642417,0.2919626262682611,0.3363766518752292,4.4115540324175,8.85295659311431,0.4222222222222222
950000,1000000.0,95,0.2042850318335245,0.001972076721960364,0.2020237862071068,0.2051829257055742,0.20564838358789247,0.18408104749152046,0.23545978713810486,-2.0203984342004047,3.117475530458036,0.43859649122807015
1000000,1300000.0,336,0.141519802094025,0.00599494626612629,0.1484412216128627,0.13795987229161605,0.13815831237759624,0.2065767268927747,0.19722179903847942,6.50569247987497,5.57019969444544,0.6815476190476191
1300000,1500000.0,146,0.18950538839082573,0.006363116212720917,0.18400281842090396,0.1880399755289901,0.1964733712225831,0.23825782992045527,0.21776739749777207,4.875244152962955,2.8262009106946344,0.7534246575342465
1500000,2000000.0,176,0.21075142980926678,0.002514287999241357,0.21325767927635395,0.20822917964863843,0.210767430502808,0.3017512513534409,0.2533329832609617,9.099982154417411,4.2581553451694925,0.7803030303030303
2000000,inf,194,0.26280644787280055,0.012351953443171445,0.2757431608022622,0.2511369523215042,0.26153923049463523,0.3390738711323796,0.27770379533799605,7.626742325957903,1.4897347465195498,0.7852233676975945
